"","X.x","sector","state","year","action_occurred","protest_occurred","strike_occurred","total_strikes","total_protests","total_actions","X.y","all_employees","avg_hourly_earnings_all","avg_hourly_earnings_production","avg_weekly_earnings_all","avg_weekly_earnings_production","avg_weekly_hours_all","avg_weekly_hours_production","production_nonsupervisory_employees","Labor.Force","Labor.Force.Participation.Rate","Unemployment.Rate","state_labor_force","state_labor_part","state_unempl_rate","X","adjusted_cpi"
"70",70,"Construction","Guam",2024,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71",71,"Construction","Guam",2025,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72",72,"Construction","Guam",2026,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73",73,"Construction","Hawaii",2021,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,318,304.874132079167
"74",74,"Construction","Hawaii",2022,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,369,325.089280391667
"75",75,"Construction","Hawaii",2023,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,420,330.936148375
"76",76,"Construction","Hawaii",2024,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,471,340.704079805
"77",77,"Construction","Hawaii",2025,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78",78,"Construction","Hawaii",2026,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79",79,"Construction","Idaho",2021,0,0,0,0,0,0,95,60.7333333333333,26.115,NA,1025.74583333333,NA,39.2833333333333,NA,NA,927341.166666667,63.2083333333333,3.6,927.341166666667,63.2083333333333,3.6,319,248.274353645833
"80",80,"Construction","Idaho",2022,0,0,0,0,0,0,96,66.2083333333333,28.6275,NA,1086.12583333333,NA,37.925,NA,NA,954670.083333333,63.425,2.89166666666667,954.670083333333,63.425,2.89166666666667,370,268.6037962125
"81",81,"Construction","Idaho",2023,0,0,0,0,0,0,97,68.6166666666667,31.2066666666667,NA,1166.59083333333,NA,37.375,NA,NA,977435.166666667,63.65,3.20833333333333,977.435166666667,63.65,3.20833333333333,421,278.575784375
"82",82,"Construction","Idaho",2024,0,0,0,0,0,0,98,71.7166666666667,34.5775,NA,1334.4475,NA,38.5666666666667,NA,NA,1002523.33333333,63.9666666666667,3.66666666666667,1002.52333333333,63.9666666666667,3.66666666666667,472,286.798244125
"83",83,"Construction","Idaho",2025,0,0,0,0,0,0,99,75.1,36.2375,NA,1391.205,NA,38.4,NA,NA,1008601.75,63.575,4.025,1008.60175,63.575,4.025,NA,NA
"84",84,"Construction","Idaho",2026,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85",85,"Construction","Illinois",2021,0,0,0,0,0,0,106,222.608333333333,40.1358333333333,40.3241666666667,1515.67833333333,1553.025,37.75,38.5083333333333,NA,6336764.33333333,62.9666666666667,6.08333333333333,6336.76433333333,62.9666666666667,6.08333333333333,320,274.569080279167
"86",86,"Construction","Illinois",2022,1,1,0,0,2,2,107,230.691666666667,43.0441666666667,43.0666666666667,1623.50916666667,1638.47333333333,37.7083333333333,38.0333333333333,NA,6451123,64.2333333333333,4.61666666666667,6451.123,64.2333333333333,4.61666666666667,371,296.253971833333
"87",87,"Construction","Illinois",2023,1,1,0,0,2,2,108,235.866666666667,45.7633333333333,46.465,1718.19,1779.24916666667,37.5416666666667,38.2833333333333,NA,6498527.58333333,64.3666666666667,4.49166666666667,6498.52758333333,64.3666666666667,4.49166666666667,422,301.215303958333
"88",88,"Construction","Illinois",2024,1,0,1,1,0,1,109,235.475,45.8675,48.0941666666667,1713.92333333333,1788.54666666667,37.3666666666667,37.1916666666667,NA,6624917.58333333,65.0416666666667,4.98333333333333,6624.91758333333,65.0416666666667,4.98333333333333,473,310.105993141667
"89",89,"Construction","Illinois",2025,0,0,0,0,0,0,110,215.2,47.345,48.8025,1706.565,1713.9125,36.05,35.125,NA,6590228.75,64.45,4.9,6590.22875,64.45,4.9,NA,NA
"90",90,"Construction","Illinois",2026,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91",91,"Construction","Indiana",2021,0,0,0,0,0,0,117,149.608333333333,30.9608333333333,29.1325,1174.31,1108.90583333333,37.925,38.05,NA,3331675.66666667,62.7,3.89166666666667,3331.67566666667,62.7,3.89166666666667,321,250.826871420833
"92",92,"Construction","Indiana",2022,0,0,0,0,0,0,118,156.458333333333,34.0033333333333,31.6891666666667,1291.09166666667,1269.03083333333,37.9583333333333,40.0166666666667,NA,3377985.91666667,63.1833333333333,3.08333333333333,3377.98591666667,63.1833333333333,3.08333333333333,372,268.87593785
